İstasyon,Tarih,Akım (m³/s),Enlem,Boylam
E09A031,01.10.2014,8.69,37.51,30.7939
E09A031,02.10.2014,7.42,37.51,30.7939
E09A031,03.10.2014,7.42,37.51,30.7939
E09A031,04.10.2014,3.72,37.51,30.7939
E09A031,05.10.2014,3.03,37.51,30.7939
E09A031,06.10.2014,3.03,37.51,30.7939
E09A031,07.10.2014,3.03,37.51,30.7939
E09A031,08.10.2014,3.03,37.51,30.7939
E09A031,09.10.2014,3.03,37.51,30.7939
E09A031,10.10.2014,3.03,37.51,30.7939
E09A031,11.10.2014,3.03,37.51,30.7939
E09A031,12.10.2014,1.88,37.51,30.7939
E09A031,13.10.2014,2.4,37.51,30.7939
E09A031,14.10.2014,3.72,37.51,30.7939
E09A031,15.10.2014,3.72,37.51,30.7939
E09A031,16.10.2014,3.72,37.51,30.7939
E09A031,17.10.2014,3.72,37.51,30.7939
E09A031,18.10.2014,3.72,37.51,30.7939
E09A031,19.10.2014,3.03,37.51,30.7939
E09A031,20.10.2014,3.03,37.51,30.7939
E09A031,21.10.2014,3.03,37.51,30.7939
E09A031,22.10.2014,3.72,37.51,30.7939
E09A031,23.10.2014,3.72,37.51,30.7939
E09A031,24.10.2014,7.42,37.51,30.7939
E09A031,25.10.2014,5.42,37.51,30.7939
E09A031,26.10.2014,5.42,37.51,30.7939
E09A031,27.10.2014,5.42,37.51,30.7939
E09A031,28.10.2014,4.55,37.51,30.7939
E09A031,29.10.2014,3.72,37.51,30.7939
E09A031,30.10.2014,3.72,37.51,30.7939
E09A031,31.10.2014,3.72,37.51,30.7939
E09A031,01.11.2014,3.72,37.51,30.7939
E09A031,02.11.2014,1.88,37.51,30.7939
E09A031,03.11.2014,3.03,37.51,30.7939
E09A031,04.11.2014,3.03,37.51,30.7939
E09A031,05.11.2014,3.72,37.51,30.7939
E09A031,06.11.2014,3.72,37.51,30.7939
E09A031,07.11.2014,3.72,37.51,30.7939
E09A031,08.11.2014,3.03,37.51,30.7939
E09A031,09.11.2014,3.03,37.51,30.7939
E09A031,10.11.2014,3.03,37.51,30.7939
E09A031,11.11.2014,3.72,37.51,30.7939
E09A031,12.11.2014,4.55,37.51,30.7939
E09A031,13.11.2014,4.55,37.51,30.7939
E09A031,14.11.2014,3.72,37.51,30.7939
E09A031,15.11.2014,7.42,37.51,30.7939
E09A031,16.11.2014,4.55,37.51,30.7939
E09A031,17.11.2014,5.42,37.51,30.7939
E09A031,18.11.2014,5.42,37.51,30.7939
E09A031,19.11.2014,5.42,37.51,30.7939
E09A031,20.11.2014,5.42,37.51,30.7939
E09A031,21.11.2014,7.42,37.51,30.7939
E09A031,22.11.2014,5.42,37.51,30.7939
E09A031,23.11.2014,4.55,37.51,30.7939
E09A031,24.11.2014,5.42,37.51,30.7939
E09A031,25.11.2014,5.42,37.51,30.7939
E09A031,26.11.2014,5.42,37.51,30.7939
E09A031,27.11.2014,5.42,37.51,30.7939
E09A031,28.11.2014,5.42,37.51,30.7939
E09A031,29.11.2014,5.42,37.51,30.7939
E09A031,30.11.2014,4.55,37.51,30.7939
E09A031,01.12.2014,5.42,37.51,30.7939
E09A031,02.12.2014,5.42,37.51,30.7939
E09A031,03.12.2014,4.55,37.51,30.7939
E09A031,04.12.2014,4.55,37.51,30.7939
E09A031,05.12.2014,4.55,37.51,30.7939
E09A031,06.12.2014,3.72,37.51,30.7939
E09A031,07.12.2014,3.03,37.51,30.7939
E09A031,08.12.2014,4.55,37.51,30.7939
E09A031,09.12.2014,17.8,37.51,30.7939
E09A031,10.12.2014,11.4,37.51,30.7939
E09A031,11.12.2014,8.69,37.51,30.7939
E09A031,12.12.2014,30.2,37.51,30.7939
E09A031,13.12.2014,15.9,37.51,30.7939
E09A031,14.12.2014,9.93,37.51,30.7939
E09A031,15.12.2014,9.93,37.51,30.7939
E09A031,16.12.2014,11.4,37.51,30.7939
E09A031,17.12.2014,9.93,37.51,30.7939
E09A031,18.12.2014,11.4,37.51,30.7939
E09A031,19.12.2014,11.4,37.51,30.7939
E09A031,20.12.2014,11.4,37.51,30.7939
E09A031,21.12.2014,8.69,37.51,30.7939
E09A031,22.12.2014,8.69,37.51,30.7939
E09A031,23.12.2014,8.69,37.51,30.7939
E09A031,24.12.2014,7.42,37.51,30.7939
E09A031,25.12.2014,7.42,37.51,30.7939
E09A031,26.12.2014,7.42,37.51,30.7939
E09A031,27.12.2014,8.69,37.51,30.7939
E09A031,28.12.2014,7.42,37.51,30.7939
E09A031,29.12.2014,6.33,37.51,30.7939
E09A031,30.12.2014,13.0,37.51,30.7939
E09A031,31.12.2014,25.4,37.51,30.7939
E09A031,01.01.2015,17.8,37.51,30.7939
E09A031,02.01.2015,21.7,37.51,30.7939
E09A031,03.01.2015,23.8,37.51,30.7939
E09A031,04.01.2015,15.9,37.51,30.7939
E09A031,05.01.2015,21.7,37.51,30.7939
E09A031,06.01.2015,23.8,37.51,30.7939
E09A031,07.01.2015,19.8,37.51,30.7939
E09A031,08.01.2015,17.8,37.51,30.7939
E09A031,09.01.2015,17.8,37.51,30.7939
E09A031,10.01.2015,15.9,37.51,30.7939
E09A031,11.01.2015,17.8,37.51,30.7939
E09A031,12.01.2015,17.8,37.51,30.7939
E09A031,13.01.2015,284.0,37.51,30.7939
E09A031,14.01.2015,71.2,37.51,30.7939
E09A031,15.01.2015,47.0,37.51,30.7939
E09A031,16.01.2015,39.3,37.51,30.7939
E09A031,17.01.2015,34.5,37.51,30.7939
E09A031,18.01.2015,32.2,37.51,30.7939
E09A031,19.01.2015,32.2,37.51,30.7939
