İstasyon,Tarih,Akım (m³/s),Enlem,Boylam
D09A134,01.10.2014,0.419,37.8253,30.9486
D09A134,02.10.2014,0.356,37.8253,30.9486
D09A134,03.10.2014,0.293,37.8253,30.9486
D09A134,04.10.2014,0.23,37.8253,30.9486
D09A134,05.10.2014,0.23,37.8253,30.9486
D09A134,06.10.2014,0.23,37.8253,30.9486
D09A134,07.10.2014,0.23,37.8253,30.9486
D09A134,08.10.2014,0.23,37.8253,30.9486
D09A134,09.10.2014,0.23,37.8253,30.9486
D09A134,10.10.2014,0.23,37.8253,30.9486
D09A134,11.10.2014,0.23,37.8253,30.9486
D09A134,12.10.2014,0.23,37.8253,30.9486
D09A134,13.10.2014,0.293,37.8253,30.9486
D09A134,14.10.2014,0.23,37.8253,30.9486
D09A134,15.10.2014,0.23,37.8253,30.9486
D09A134,16.10.2014,0.23,37.8253,30.9486
D09A134,17.10.2014,0.23,37.8253,30.9486
D09A134,18.10.2014,0.23,37.8253,30.9486
D09A134,19.10.2014,0.23,37.8253,30.9486
D09A134,20.10.2014,0.23,37.8253,30.9486
D09A134,21.10.2014,0.23,37.8253,30.9486
D09A134,22.10.2014,0.23,37.8253,30.9486
D09A134,23.10.2014,0.23,37.8253,30.9486
D09A134,24.10.2014,0.419,37.8253,30.9486
D09A134,25.10.2014,0.419,37.8253,30.9486
D09A134,26.10.2014,1.01,37.8253,30.9486
D09A134,27.10.2014,0.482,37.8253,30.9486
D09A134,28.10.2014,0.419,37.8253,30.9486
D09A134,29.10.2014,0.419,37.8253,30.9486
D09A134,30.10.2014,0.419,37.8253,30.9486
D09A134,31.10.2014,0.419,37.8253,30.9486
D09A134,01.11.2014,0.419,37.8253,30.9486
D09A134,02.11.2014,0.419,37.8253,30.9486
D09A134,03.11.2014,0.419,37.8253,30.9486
D09A134,04.11.2014,0.419,37.8253,30.9486
D09A134,05.11.2014,0.419,37.8253,30.9486
D09A134,06.11.2014,0.419,37.8253,30.9486
D09A134,07.11.2014,0.419,37.8253,30.9486
D09A134,08.11.2014,0.419,37.8253,30.9486
D09A134,09.11.2014,0.419,37.8253,30.9486
