İstasyon,Tarih,Akım (m³/s),Enlem,Boylam
D09A089,01.10.2014,2.33,37.4628,30.9122
D09A089,02.10.2014,2.33,37.4628,30.9122
D09A089,03.10.2014,2.13,37.4628,30.9122
D09A089,04.10.2014,2.13,37.4628,30.9122
D09A089,05.10.2014,2.13,37.4628,30.9122
D09A089,06.10.2014,2.13,37.4628,30.9122
D09A089,07.10.2014,2.13,37.4628,30.9122
D09A089,08.10.2014,2.33,37.4628,30.9122
D09A089,09.10.2014,2.33,37.4628,30.9122
D09A089,10.10.2014,2.33,37.4628,30.9122
D09A089,11.10.2014,2.33,37.4628,30.9122
D09A089,12.10.2014,2.33,37.4628,30.9122
D09A089,13.10.2014,2.33,37.4628,30.9122
D09A089,14.10.2014,2.54,37.4628,30.9122
D09A089,15.10.2014,2.54,37.4628,30.9122
D09A089,16.10.2014,2.54,37.4628,30.9122
D09A089,17.10.2014,2.54,37.4628,30.9122
D09A089,18.10.2014,2.54,37.4628,30.9122
D09A089,19.10.2014,2.54,37.4628,30.9122
D09A089,20.10.2014,2.54,37.4628,30.9122
D09A089,21.10.2014,2.54,37.4628,30.9122
D09A089,22.10.2014,2.54,37.4628,30.9122
D09A089,23.10.2014,2.54,37.4628,30.9122
D09A089,24.10.2014,2.75,37.4628,30.9122
D09A089,25.10.2014,5.36,37.4628,30.9122
D09A089,26.10.2014,4.81,37.4628,30.9122
D09A089,27.10.2014,4.54,37.4628,30.9122
D09A089,28.10.2014,3.99,37.4628,30.9122
D09A089,29.10.2014,3.49,37.4628,30.9122
D09A089,30.10.2014,3.25,37.4628,30.9122
D09A089,31.10.2014,3.25,37.4628,30.9122
D09A089,01.11.2014,3.0,37.4628,30.9122
D09A089,02.11.2014,3.0,37.4628,30.9122
D09A089,03.11.2014,3.0,37.4628,30.9122
D09A089,04.11.2014,2.75,37.4628,30.9122
D09A089,05.11.2014,2.75,37.4628,30.9122
D09A089,06.11.2014,2.75,37.4628,30.9122
D09A089,07.11.2014,2.54,37.4628,30.9122
D09A089,08.11.2014,2.75,37.4628,30.9122
D09A089,09.11.2014,3.0,37.4628,30.9122
D09A089,10.11.2014,3.0,37.4628,30.9122
D09A089,11.11.2014,2.75,37.4628,30.9122
D09A089,12.11.2014,2.75,37.4628,30.9122
D09A089,13.11.2014,2.75,37.4628,30.9122
D09A089,14.11.2014,2.75,37.4628,30.9122
D09A089,15.11.2014,2.75,37.4628,30.9122
D09A089,16.11.2014,2.75,37.4628,30.9122
D09A089,17.11.2014,2.75,37.4628,30.9122
D09A089,18.11.2014,2.75,37.4628,30.9122
D09A089,19.11.2014,2.75,37.4628,30.9122
D09A089,20.11.2014,3.0,37.4628,30.9122
D09A089,21.11.2014,3.49,37.4628,30.9122
D09A089,22.11.2014,3.49,37.4628,30.9122
D09A089,23.11.2014,3.49,37.4628,30.9122
D09A089,24.11.2014,3.25,37.4628,30.9122
D09A089,25.11.2014,3.25,37.4628,30.9122
D09A089,26.11.2014,3.25,37.4628,30.9122
D09A089,27.11.2014,3.25,37.4628,30.9122
D09A089,28.11.2014,3.0,37.4628,30.9122
D09A089,29.11.2014,3.0,37.4628,30.9122
D09A089,30.11.2014,3.0,37.4628,30.9122
D09A089,01.12.2014,3.0,37.4628,30.9122
D09A089,02.12.2014,3.0,37.4628,30.9122
D09A089,03.12.2014,3.0,37.4628,30.9122
D09A089,04.12.2014,2.75,37.4628,30.9122
D09A089,05.12.2014,2.75,37.4628,30.9122
D09A089,06.12.2014,2.75,37.4628,30.9122
D09A089,07.12.2014,2.75,37.4628,30.9122
D09A089,08.12.2014,2.75,37.4628,30.9122
D09A089,09.12.2014,6.56,37.4628,30.9122
D09A089,10.12.2014,7.84,37.4628,30.9122
D09A089,11.12.2014,5.09,37.4628,30.9122
D09A089,12.12.2014,7.19,37.4628,30.9122
D09A089,13.12.2014,8.88,37.4628,30.9122
D09A089,14.12.2014,6.56,37.4628,30.9122
D09A089,15.12.2014,6.56,37.4628,30.9122
D09A089,16.12.2014,5.96,37.4628,30.9122
D09A089,17.12.2014,5.36,37.4628,30.9122
D09A089,18.12.2014,5.66,37.4628,30.9122
D09A089,19.12.2014,6.56,37.4628,30.9122
D09A089,20.12.2014,5.96,37.4628,30.9122
D09A089,21.12.2014,5.66,37.4628,30.9122
D09A089,22.12.2014,5.36,37.4628,30.9122
D09A089,23.12.2014,5.09,37.4628,30.9122
D09A089,24.12.2014,4.81,37.4628,30.9122
D09A089,25.12.2014,4.81,37.4628,30.9122
D09A089,26.12.2014,4.54,37.4628,30.9122
D09A089,27.12.2014,4.26,37.4628,30.9122
D09A089,28.12.2014,6.56,37.4628,30.9122
D09A089,29.12.2014,6.56,37.4628,30.9122
D09A089,30.12.2014,7.84,37.4628,30.9122
D09A089,31.12.2014,25.1,37.4628,30.9122
D09A089,01.01.2015,25.1,37.4628,30.9122
D09A089,02.01.2015,18.5,37.4628,30.9122
D09A089,03.01.2015,16.7,37.4628,30.9122
D09A089,04.01.2015,15.3,37.4628,30.9122
D09A089,05.01.2015,15.3,37.4628,30.9122
D09A089,06.01.2015,17.6,37.4628,30.9122
D09A089,07.01.2015,14.9,37.4628,30.9122
D09A089,08.01.2015,12.8,37.4628,30.9122
D09A089,09.01.2015,10.8,37.4628,30.9122
D09A089,10.01.2015,10.0,37.4628,30.9122
D09A089,11.01.2015,9.26,37.4628,30.9122
D09A089,12.01.2015,8.88,37.4628,30.9122
D09A089,13.01.2015,32.8,37.4628,30.9122
D09A089,14.01.2015,19.4,37.4628,30.9122
D09A089,15.01.2015,17.1,37.4628,30.9122
D09A089,16.01.2015,14.9,37.4628,30.9122
D09A089,17.01.2015,12.8,37.4628,30.9122
D09A089,18.01.2015,11.6,37.4628,30.9122
D09A089,19.01.2015,10.8,37.4628,30.9122
D09A089,20.01.2015,10.0,37.4628,30.9122
D09A089,21.01.2015,9.26,37.4628,30.9122
D09A089,22.01.2015,8.88,37.4628,30.9122
D09A089,23.01.2015,8.17,37.4628,30.9122
D09A089,24.01.2015,7.84,37.4628,30.9122
D09A089,25.01.2015,7.84,37.4628,30.9122
D09A089,26.01.2015,7.52,37.4628,30.9122
D09A089,27.01.2015,8.17,37.4628,30.9122
D09A089,28.01.2015,9.64,37.4628,30.9122
D09A089,29.01.2015,9.26,37.4628,30.9122
D09A089,30.01.2015,9.26,37.4628,30.9122
D09A089,31.01.2015,10.8,37.4628,30.9122
D09A089,01.02.2015,13.6,37.4628,30.9122
D09A089,02.02.2015,13.2,37.4628,30.9122
D09A089,03.02.2015,24.1,37.4628,30.9122
D09A089,04.02.2015,15.3,37.4628,30.9122
D09A089,05.02.2015,13.2,37.4628,30.9122
D09A089,06.02.2015,12.0,37.4628,30.9122
D09A089,07.02.2015,11.2,37.4628,30.9122
D09A089,08.02.2015,10.8,37.4628,30.9122
D09A089,09.02.2015,10.4,37.4628,30.9122
D09A089,10.02.2015,11.2,37.4628,30.9122
D09A089,11.02.2015,12.0,37.4628,30.9122
D09A089,12.02.2015,10.8,37.4628,30.9122
D09A089,13.02.2015,10.4,37.4628,30.9122
D09A089,14.02.2015,10.0,37.4628,30.9122
D09A089,15.02.2015,9.64,37.4628,30.9122
D09A089,16.02.2015,9.64,37.4628,30.9122
D09A089,17.02.2015,9.26,37.4628,30.9122
D09A089,18.02.2015,9.26,37.4628,30.9122
D09A089,19.02.2015,8.88,37.4628,30.9122
D09A089,20.02.2015,8.88,37.4628,30.9122
D09A089,21.02.2015,8.5,37.4628,30.9122
D09A089,22.02.2015,8.5,37.4628,30.9122
D09A089,23.02.2015,8.17,37.4628,30.9122
D09A089,24.02.2015,8.88,37.4628,30.9122
D09A089,25.02.2015,10.8,37.4628,30.9122
D09A089,26.02.2015,13.2,37.4628,30.9122
D09A089,27.02.2015,14.0,37.4628,30.9122
D09A089,28.02.2015,19.9,37.4628,30.9122
D09A089,01.03.2015,17.6,37.4628,30.9122
D09A089,02.03.2015,16.2,37.4628,30.9122
D09A089,03.03.2015,14.9,37.4628,30.9122
D09A089,04.03.2015,13.6,37.4628,30.9122
D09A089,05.03.2015,12.4,37.4628,30.9122
D09A089,06.03.2015,12.0,37.4628,30.9122
D09A089,07.03.2015,11.6,37.4628,30.9122
D09A089,08.03.2015,11.2,37.4628,30.9122
D09A089,09.03.2015,10.8,37.4628,30.9122
D09A089,10.03.2015,10.8,37.4628,30.9122
D09A089,11.03.2015,11.2,37.4628,30.9122
D09A089,12.03.2015,10.8,37.4628,30.9122
D09A089,13.03.2015,10.8,37.4628,30.9122
D09A089,14.03.2015,14.9,37.4628,30.9122
D09A089,15.03.2015,15.3,37.4628,30.9122
D09A089,16.03.2015,14.4,37.4628,30.9122
D09A089,17.03.2015,13.2,37.4628,30.9122
D09A089,18.03.2015,12.4,37.4628,30.9122
D09A089,19.03.2015,12.4,37.4628,30.9122
D09A089,20.03.2015,12.0,37.4628,30.9122
D09A089,21.03.2015,11.6,37.4628,30.9122
D09A089,22.03.2015,11.2,37.4628,30.9122
D09A089,23.03.2015,10.8,37.4628,30.9122
D09A089,24.03.2015,10.4,37.4628,30.9122
D09A089,25.03.2015,10.4,37.4628,30.9122
D09A089,26.03.2015,10.0,37.4628,30.9122
