İstasyon,Tarih,Akım (m³/s),Enlem,Boylam
D09A088,01.10.2014,0.043,37.4686,30.9842
D09A088,02.10.2014,0.033,37.4686,30.9842
D09A088,03.10.2014,0.033,37.4686,30.9842
D09A088,04.10.2014,0.033,37.4686,30.9842
D09A088,05.10.2014,0.033,37.4686,30.9842
D09A088,06.10.2014,0.033,37.4686,30.9842
D09A088,07.10.2014,0.033,37.4686,30.9842
D09A088,08.10.2014,0.025,37.4686,30.9842
D09A088,09.10.2014,0.033,37.4686,30.9842
D09A088,10.10.2014,0.033,37.4686,30.9842
D09A088,11.10.2014,0.033,37.4686,30.9842
D09A088,12.10.2014,0.033,37.4686,30.9842
D09A088,13.10.2014,0.033,37.4686,30.9842
D09A088,14.10.2014,0.033,37.4686,30.9842
D09A088,15.10.2014,0.033,37.4686,30.9842
D09A088,16.10.2014,0.033,37.4686,30.9842
D09A088,17.10.2014,0.033,37.4686,30.9842
D09A088,18.10.2014,0.033,37.4686,30.9842
D09A088,19.10.2014,0.043,37.4686,30.9842
D09A088,20.10.2014,0.043,37.4686,30.9842
D09A088,21.10.2014,0.033,37.4686,30.9842
D09A088,22.10.2014,0.052,37.4686,30.9842
D09A088,23.10.2014,0.052,37.4686,30.9842
D09A088,24.10.2014,0.052,37.4686,30.9842
D09A088,25.10.2014,0.125,37.4686,30.9842
D09A088,26.10.2014,0.043,37.4686,30.9842
D09A088,27.10.2014,0.043,37.4686,30.9842
D09A088,28.10.2014,0.043,37.4686,30.9842
D09A088,29.10.2014,0.043,37.4686,30.9842
D09A088,30.10.2014,0.043,37.4686,30.9842
D09A088,31.10.2014,0.043,37.4686,30.9842
D09A088,01.11.2014,0.043,37.4686,30.9842
D09A088,02.11.2014,0.043,37.4686,30.9842
D09A088,03.11.2014,0.052,37.4686,30.9842
D09A088,04.11.2014,0.052,37.4686,30.9842
D09A088,05.11.2014,0.043,37.4686,30.9842
D09A088,06.11.2014,0.043,37.4686,30.9842
D09A088,07.11.2014,0.043,37.4686,30.9842
D09A088,08.11.2014,0.043,37.4686,30.9842
D09A088,09.11.2014,0.043,37.4686,30.9842
D09A088,10.11.2014,0.043,37.4686,30.9842
D09A088,11.11.2014,0.043,37.4686,30.9842
D09A088,12.11.2014,0.043,37.4686,30.9842
D09A088,13.11.2014,0.033,37.4686,30.9842
D09A088,14.11.2014,0.043,37.4686,30.9842
D09A088,15.11.2014,0.043,37.4686,30.9842
D09A088,16.11.2014,0.033,37.4686,30.9842
D09A088,17.11.2014,0.033,37.4686,30.9842
D09A088,18.11.2014,0.033,37.4686,30.9842
D09A088,19.11.2014,0.025,37.4686,30.9842
D09A088,20.11.2014,0.033,37.4686,30.9842
D09A088,21.11.2014,0.033,37.4686,30.9842
D09A088,22.11.2014,0.033,37.4686,30.9842
D09A088,23.11.2014,0.033,37.4686,30.9842
D09A088,24.11.2014,0.025,37.4686,30.9842
D09A088,25.11.2014,0.025,37.4686,30.9842
D09A088,26.11.2014,0.025,37.4686,30.9842
D09A088,27.11.2014,0.025,37.4686,30.9842
D09A088,28.11.2014,0.025,37.4686,30.9842
D09A088,29.11.2014,0.025,37.4686,30.9842
D09A088,30.11.2014,0.025,37.4686,30.9842
D09A088,01.12.2014,0.025,37.4686,30.9842
D09A088,02.12.2014,0.019,37.4686,30.9842
D09A088,03.12.2014,0.019,37.4686,30.9842
D09A088,04.12.2014,0.019,37.4686,30.9842
D09A088,05.12.2014,0.013,37.4686,30.9842
D09A088,06.12.2014,0.009,37.4686,30.9842
D09A088,07.12.2014,0.009,37.4686,30.9842
D09A088,08.12.2014,0.009,37.4686,30.9842
D09A088,09.12.2014,1.17,37.4686,30.9842
D09A088,10.12.2014,2.64,37.4686,30.9842
D09A088,11.12.2014,0.393,37.4686,30.9842
