İstasyon,Tarih,Akım (m³/s),Enlem,Boylam
D09A086,01.10.2014,1.32,37.6231,31.1236
D09A086,02.10.2014,0.973,37.6231,31.1236
D09A086,03.10.2014,0.741,37.6231,31.1236
D09A086,04.10.2014,0.663,37.6231,31.1236
D09A086,05.10.2014,0.584,37.6231,31.1236
D09A086,06.10.2014,0.506,37.6231,31.1236
D09A086,07.10.2014,0.506,37.6231,31.1236
D09A086,08.10.2014,0.506,37.6231,31.1236
D09A086,09.10.2014,0.506,37.6231,31.1236
D09A086,10.10.2014,0.427,37.6231,31.1236
D09A086,11.10.2014,0.506,37.6231,31.1236
D09A086,12.10.2014,0.506,37.6231,31.1236
D09A086,13.10.2014,0.584,37.6231,31.1236
D09A086,14.10.2014,0.506,37.6231,31.1236
D09A086,15.10.2014,0.663,37.6231,31.1236
D09A086,16.10.2014,0.584,37.6231,31.1236
D09A086,17.10.2014,0.584,37.6231,31.1236
D09A086,18.10.2014,0.584,37.6231,31.1236
D09A086,19.10.2014,0.427,37.6231,31.1236
D09A086,20.10.2014,0.506,37.6231,31.1236
D09A086,21.10.2014,0.857,37.6231,31.1236
D09A086,22.10.2014,0.741,37.6231,31.1236
D09A086,23.10.2014,0.741,37.6231,31.1236
D09A086,24.10.2014,0.973,37.6231,31.1236
D09A086,25.10.2014,2.06,37.6231,31.1236
D09A086,26.10.2014,2.06,37.6231,31.1236
D09A086,27.10.2014,2.25,37.6231,31.1236
D09A086,28.10.2014,1.51,37.6231,31.1236
D09A086,29.10.2014,1.09,37.6231,31.1236
D09A086,30.10.2014,1.32,37.6231,31.1236
D09A086,31.10.2014,1.51,37.6231,31.1236
D09A086,01.11.2014,1.09,37.6231,31.1236
D09A086,02.11.2014,0.857,37.6231,31.1236
D09A086,03.11.2014,0.663,37.6231,31.1236
D09A086,04.11.2014,0.584,37.6231,31.1236
D09A086,05.11.2014,0.506,37.6231,31.1236
D09A086,06.11.2014,0.427,37.6231,31.1236
D09A086,07.11.2014,0.303,37.6231,31.1236
D09A086,08.11.2014,0.303,37.6231,31.1236
D09A086,09.11.2014,0.303,37.6231,31.1236
D09A086,10.11.2014,0.257,37.6231,31.1236
D09A086,11.11.2014,0.257,37.6231,31.1236
D09A086,12.11.2014,0.211,37.6231,31.1236
D09A086,13.11.2014,0.211,37.6231,31.1236
D09A086,14.11.2014,0.211,37.6231,31.1236
