İstasyon,Tarih,Akım (m³/s),Enlem,Boylam
D09A016,01.10.2014,2.93,37.6486,30.8689
D09A016,02.10.2014,2.33,37.6486,30.8689
D09A016,03.10.2014,2.25,37.6486,30.8689
D09A016,08.10.2014,2.85,37.6486,30.8689
D09A016,09.10.2014,2.7,37.6486,30.8689
D09A016,10.10.2014,2.62,37.6486,30.8689
D09A016,11.10.2014,2.4,37.6486,30.8689
D09A016,13.10.2014,2.55,37.6486,30.8689
D09A016,14.10.2014,2.77,37.6486,30.8689
D09A016,15.10.2014,2.4,37.6486,30.8689
D09A016,16.10.2014,2.7,37.6486,30.8689
D09A016,17.10.2014,2.62,37.6486,30.8689
D09A016,18.10.2014,2.25,37.6486,30.8689
D09A016,19.10.2014,1.71,37.6486,30.8689
D09A016,20.10.2014,2.33,37.6486,30.8689
D09A016,21.10.2014,2.1,37.6486,30.8689
D09A016,22.10.2014,2.93,37.6486,30.8689
D09A016,23.10.2014,2.4,37.6486,30.8689
D09A016,24.10.2014,2.03,37.6486,30.8689
D09A016,25.10.2014,1.92,37.6486,30.8689
D09A016,27.10.2014,1.98,37.6486,30.8689
D09A016,28.10.2014,2.03,37.6486,30.8689
D09A016,29.10.2014,2.03,37.6486,30.8689
D09A016,30.10.2014,1.98,37.6486,30.8689
D09A016,31.10.2014,1.98,37.6486,30.8689
D09A016,01.11.2014,1.98,37.6486,30.8689
D09A016,03.11.2014,1.92,37.6486,30.8689
D09A016,04.11.2014,1.87,37.6486,30.8689
D09A016,05.11.2014,1.81,37.6486,30.8689
D09A016,06.11.2014,1.81,37.6486,30.8689
D09A016,07.11.2014,1.76,37.6486,30.8689
D09A016,11.11.2014,1.81,37.6486,30.8689
D09A016,12.11.2014,1.65,37.6486,30.8689
D09A016,13.11.2014,1.6,37.6486,30.8689
D09A016,14.11.2014,1.65,37.6486,30.8689
D09A016,15.11.2014,1.71,37.6486,30.8689
D09A016,17.11.2014,1.65,37.6486,30.8689
D09A016,18.11.2014,1.87,37.6486,30.8689
D09A016,19.11.2014,1.65,37.6486,30.8689
D09A016,20.11.2014,1.71,37.6486,30.8689
D09A016,21.11.2014,1.71,37.6486,30.8689
D09A016,22.11.2014,1.76,37.6486,30.8689
D09A016,24.11.2014,1.76,37.6486,30.8689
D09A016,25.11.2014,1.65,37.6486,30.8689
D09A016,26.11.2014,1.81,37.6486,30.8689
D09A016,27.11.2014,1.98,37.6486,30.8689
