İstasyon,Tarih,Akım (m³/s),Enlem,Boylam
D09A060,01.10.2014,0.817,37.8383,30.8981
D09A060,02.10.2014,0.817,37.8383,30.8981
D09A060,03.10.2014,0.742,37.8383,30.8981
D09A060,04.10.2014,0.666,37.8383,30.8981
D09A060,05.10.2014,0.59,37.8383,30.8981
D09A060,06.10.2014,0.514,37.8383,30.8981
D09A060,07.10.2014,0.514,37.8383,30.8981
D09A060,08.10.2014,0.363,37.8383,30.8981
D09A060,09.10.2014,0.514,37.8383,30.8981
D09A060,10.10.2014,0.205,37.8383,30.8981
D09A060,11.10.2014,0.31,37.8383,30.8981
D09A060,12.10.2014,0.205,37.8383,30.8981
D09A060,13.10.2014,0.268,37.8383,30.8981
D09A060,14.10.2014,0.268,37.8383,30.8981
D09A060,15.10.2014,0.247,37.8383,30.8981
D09A060,16.10.2014,0.247,37.8383,30.8981
D09A060,17.10.2014,0.247,37.8383,30.8981
D09A060,18.10.2014,0.205,37.8383,30.8981
D09A060,19.10.2014,0.205,37.8383,30.8981
D09A060,20.10.2014,0.205,37.8383,30.8981
D09A060,21.10.2014,0.024,37.8383,30.8981
D09A060,22.10.2014,0.009,37.8383,30.8981
D09A060,23.10.2014,0.04,37.8383,30.8981
D09A060,24.10.2014,0.162,37.8383,30.8981
D09A060,25.10.2014,2.92,37.8383,30.8981
D09A060,26.10.2014,4.01,37.8383,30.8981
D09A060,27.10.2014,3.64,37.8383,30.8981
D09A060,28.10.2014,2.37,37.8383,30.8981
D09A060,29.10.2014,1.75,37.8383,30.8981
D09A060,30.10.2014,1.62,37.8383,30.8981
D09A060,31.10.2014,1.25,37.8383,30.8981
D09A060,01.11.2014,1.12,37.8383,30.8981
D09A060,02.11.2014,1.04,37.8383,30.8981
D09A060,03.11.2014,0.817,37.8383,30.8981
D09A060,04.11.2014,0.817,37.8383,30.8981
D09A060,05.11.2014,0.817,37.8383,30.8981
D09A060,06.11.2014,0.666,37.8383,30.8981
D09A060,07.11.2014,0.666,37.8383,30.8981
