İstasyon,Tarih,Akım (m³/s),Enlem,Boylam
D09A002,01.10.2014,1.67,37.8117,31.0911
D09A002,02.10.2014,1.49,37.8117,31.0911
D09A002,03.10.2014,1.3,37.8117,31.0911
D09A002,04.10.2014,1.3,37.8117,31.0911
D09A002,05.10.2014,1.18,37.8117,31.0911
D09A002,06.10.2014,1.18,37.8117,31.0911
D09A002,07.10.2014,1.18,37.8117,31.0911
D09A002,08.10.2014,1.06,37.8117,31.0911
D09A002,09.10.2014,1.06,37.8117,31.0911
D09A002,10.10.2014,0.94,37.8117,31.0911
D09A002,11.10.2014,0.94,37.8117,31.0911
D09A002,12.10.2014,0.82,37.8117,31.0911
D09A002,13.10.2014,0.82,37.8117,31.0911
D09A002,14.10.2014,0.82,37.8117,31.0911
D09A002,15.10.2014,0.82,37.8117,31.0911
D09A002,16.10.2014,0.82,37.8117,31.0911
D09A002,17.10.2014,0.82,37.8117,31.0911
D09A002,18.10.2014,0.82,37.8117,31.0911
D09A002,19.10.2014,0.82,37.8117,31.0911
D09A002,20.10.2014,0.82,37.8117,31.0911
D09A002,21.10.2014,0.82,37.8117,31.0911
D09A002,22.10.2014,0.82,37.8117,31.0911
D09A002,23.10.2014,0.82,37.8117,31.0911
D09A002,24.10.2014,0.94,37.8117,31.0911
D09A002,25.10.2014,5.32,37.8117,31.0911
D09A002,26.10.2014,3.78,37.8117,31.0911
D09A002,27.10.2014,4.4,37.8117,31.0911
D09A002,28.10.2014,2.61,37.8117,31.0911
D09A002,29.10.2014,1.86,37.8117,31.0911
D09A002,30.10.2014,1.67,37.8117,31.0911
D09A002,31.10.2014,1.67,37.8117,31.0911
D09A002,01.11.2014,1.49,37.8117,31.0911
D09A002,02.11.2014,1.3,37.8117,31.0911
D09A002,03.11.2014,1.18,37.8117,31.0911
D09A002,04.11.2014,1.06,37.8117,31.0911
D09A002,05.11.2014,1.06,37.8117,31.0911
D09A002,06.11.2014,0.94,37.8117,31.0911
D09A002,07.11.2014,0.94,37.8117,31.0911
D09A002,08.11.2014,0.94,37.8117,31.0911
D09A002,09.11.2014,0.94,37.8117,31.0911
D09A002,10.11.2014,0.94,37.8117,31.0911
D09A002,11.11.2014,0.94,37.8117,31.0911
D09A002,12.11.2014,0.82,37.8117,31.0911
D09A002,13.11.2014,0.7,37.8117,31.0911
D09A002,14.11.2014,0.7,37.8117,31.0911
