İstasyon,Tarih,Akım (m³/s),Enlem,Boylam
D09A075,20.11.2014,0.113,38.13,30.9906
D09A075,21.11.2014,0.248,38.13,30.9906
D09A075,22.11.2014,0.28,38.13,30.9906
D09A075,23.11.2014,0.215,38.13,30.9906
D09A075,24.11.2014,0.185,38.13,30.9906
D09A075,25.11.2014,0.215,38.13,30.9906
D09A075,26.11.2014,0.248,38.13,30.9906
D09A075,27.11.2014,0.215,38.13,30.9906
D09A075,28.11.2014,0.185,38.13,30.9906
D09A075,29.11.2014,0.185,38.13,30.9906
D09A075,30.11.2014,0.185,38.13,30.9906
D09A075,01.12.2014,0.248,38.13,30.9906
D09A075,02.12.2014,0.4,38.13,30.9906
D09A075,03.12.2014,0.54,38.13,30.9906
D09A075,04.12.2014,0.54,38.13,30.9906
D09A075,05.12.2014,0.5,38.13,30.9906
D09A075,06.12.2014,0.44,38.13,30.9906
D09A075,07.12.2014,0.44,38.13,30.9906
D09A075,08.12.2014,0.44,38.13,30.9906
D09A075,09.12.2014,0.54,38.13,30.9906
D09A075,10.12.2014,0.72,38.13,30.9906
D09A075,11.12.2014,0.5,38.13,30.9906
D09A075,12.12.2014,0.72,38.13,30.9906
D09A075,13.12.2014,1.18,38.13,30.9906
D09A075,14.12.2014,0.72,38.13,30.9906
D09A075,15.12.2014,0.54,38.13,30.9906
D09A075,16.12.2014,0.5,38.13,30.9906
D09A075,17.12.2014,0.44,38.13,30.9906
D09A075,18.12.2014,0.5,38.13,30.9906
D09A075,19.12.2014,0.66,38.13,30.9906
D09A075,20.12.2014,0.54,38.13,30.9906
D09A075,21.12.2014,0.44,38.13,30.9906
D09A075,22.12.2014,0.44,38.13,30.9906
D09A075,23.12.2014,0.4,38.13,30.9906
D09A075,24.12.2014,0.36,38.13,30.9906
D09A075,25.12.2014,0.32,38.13,30.9906
D09A075,26.12.2014,0.36,38.13,30.9906
D09A075,27.12.2014,0.36,38.13,30.9906
D09A075,28.12.2014,0.72,38.13,30.9906
D09A075,29.12.2014,0.61,38.13,30.9906
D09A075,30.12.2014,0.66,38.13,30.9906
D09A075,31.12.2014,1.75,38.13,30.9906
D09A075,01.01.2015,4.3,38.13,30.9906
D09A075,02.01.2015,2.69,38.13,30.9906
D09A075,03.01.2015,1.85,38.13,30.9906
D09A075,04.01.2015,1.45,38.13,30.9906
D09A075,05.01.2015,1.63,38.13,30.9906
D09A075,06.01.2015,2.2,38.13,30.9906
D09A075,07.01.2015,1.63,38.13,30.9906
D09A075,08.01.2015,1.45,38.13,30.9906
D09A075,09.01.2015,1.45,38.13,30.9906
D09A075,10.01.2015,1.45,38.13,30.9906
D09A075,11.01.2015,1.45,38.13,30.9906
D09A075,12.01.2015,1.55,38.13,30.9906
D09A075,13.01.2015,4.8,38.13,30.9906
D09A075,14.01.2015,5.88,38.13,30.9906
D09A075,15.01.2015,3.65,38.13,30.9906
D09A075,16.01.2015,2.95,38.13,30.9906
D09A075,17.01.2015,2.44,38.13,30.9906
D09A075,18.01.2015,2.2,38.13,30.9906
D09A075,19.01.2015,1.95,38.13,30.9906
D09A075,20.01.2015,1.85,38.13,30.9906
D09A075,21.01.2015,1.85,38.13,30.9906
D09A075,22.01.2015,1.75,38.13,30.9906
D09A075,23.01.2015,1.75,38.13,30.9906
D09A075,24.01.2015,1.75,38.13,30.9906
D09A075,25.01.2015,1.75,38.13,30.9906
D09A075,26.01.2015,1.75,38.13,30.9906
D09A075,27.01.2015,1.63,38.13,30.9906
D09A075,28.01.2015,1.75,38.13,30.9906
D09A075,29.01.2015,1.63,38.13,30.9906
D09A075,30.01.2015,1.55,38.13,30.9906
D09A075,31.01.2015,1.45,38.13,30.9906
D09A075,01.02.2015,1.45,38.13,30.9906
D09A075,02.02.2015,1.55,38.13,30.9906
D09A075,03.02.2015,1.85,38.13,30.9906
D09A075,04.02.2015,2.2,38.13,30.9906
D09A075,05.02.2015,2.08,38.13,30.9906
D09A075,06.02.2015,2.08,38.13,30.9906
D09A075,07.02.2015,1.95,38.13,30.9906
D09A075,08.02.2015,1.95,38.13,30.9906
D09A075,09.02.2015,2.2,38.13,30.9906
D09A075,10.02.2015,2.2,38.13,30.9906
D09A075,11.02.2015,2.3,38.13,30.9906
D09A075,12.02.2015,2.08,38.13,30.9906
D09A075,13.02.2015,1.95,38.13,30.9906
D09A075,14.02.2015,1.85,38.13,30.9906
D09A075,15.02.2015,1.75,38.13,30.9906
D09A075,16.02.2015,1.95,38.13,30.9906
D09A075,17.02.2015,2.08,38.13,30.9906
D09A075,18.02.2015,1.95,38.13,30.9906
D09A075,19.02.2015,1.85,38.13,30.9906
D09A075,20.02.2015,1.85,38.13,30.9906
D09A075,21.02.2015,1.75,38.13,30.9906
D09A075,22.02.2015,1.75,38.13,30.9906
D09A075,23.02.2015,1.75,38.13,30.9906
D09A075,24.02.2015,2.2,38.13,30.9906
D09A075,25.02.2015,3.1,38.13,30.9906
D09A075,26.02.2015,2.69,38.13,30.9906
D09A075,27.02.2015,2.58,38.13,30.9906
D09A075,28.02.2015,8.25,38.13,30.9906
D09A075,01.03.2015,8.48,38.13,30.9906
D09A075,02.03.2015,6.5,38.13,30.9906
D09A075,03.03.2015,5.18,38.13,30.9906
D09A075,04.03.2015,4.3,38.13,30.9906
D09A075,05.03.2015,3.65,38.13,30.9906
D09A075,06.03.2015,3.38,38.13,30.9906
D09A075,07.03.2015,3.24,38.13,30.9906
D09A075,08.03.2015,3.24,38.13,30.9906
D09A075,09.03.2015,3.38,38.13,30.9906
D09A075,10.03.2015,3.65,38.13,30.9906
D09A075,11.03.2015,4.0,38.13,30.9906
D09A075,12.03.2015,4.3,38.13,30.9906
D09A075,13.03.2015,6.7,38.13,30.9906
D09A075,14.03.2015,6.3,38.13,30.9906
D09A075,15.03.2015,6.7,38.13,30.9906
D09A075,16.03.2015,5.65,38.13,30.9906
D09A075,17.03.2015,4.6,38.13,30.9906
D09A075,18.03.2015,4.45,38.13,30.9906
D09A075,19.03.2015,4.45,38.13,30.9906
D09A075,20.03.2015,4.3,38.13,30.9906
D09A075,21.03.2015,4.0,38.13,30.9906
D09A075,22.03.2015,4.0,38.13,30.9906
D09A075,23.03.2015,4.45,38.13,30.9906
D09A075,24.03.2015,4.3,38.13,30.9906
D09A075,25.03.2015,4.0,38.13,30.9906
D09A075,26.03.2015,4.0,38.13,30.9906
D09A075,27.03.2015,6.9,38.13,30.9906
D09A075,28.03.2015,60.5,38.13,30.9906
D09A075,29.03.2015,76.3,38.13,30.9906
D09A075,30.03.2015,66.9,38.13,30.9906
D09A075,31.03.2015,43.9,38.13,30.9906
D09A075,01.04.2015,27.5,38.13,30.9906
D09A075,02.04.2015,22.0,38.13,30.9906
D09A075,03.04.2015,20.1,38.13,30.9906
D09A075,04.04.2015,15.9,38.13,30.9906
D09A075,05.04.2015,13.4,38.13,30.9906
D09A075,06.04.2015,11.4,38.13,30.9906
D09A075,07.04.2015,14.3,38.13,30.9906
D09A075,08.04.2015,14.7,38.13,30.9906
D09A075,09.04.2015,18.7,38.13,30.9906
D09A075,10.04.2015,22.8,38.13,30.9906
D09A075,11.04.2015,17.6,38.13,30.9906
D09A075,12.04.2015,14.3,38.13,30.9906
D09A075,13.04.2015,12.8,38.13,30.9906
D09A075,14.04.2015,11.7,38.13,30.9906
D09A075,15.04.2015,11.4,38.13,30.9906
D09A075,16.04.2015,11.1,38.13,30.9906
D09A075,17.04.2015,10.8,38.13,30.9906
D09A075,18.04.2015,11.4,38.13,30.9906
D09A075,19.04.2015,12.0,38.13,30.9906
D09A075,20.04.2015,13.4,38.13,30.9906
D09A075,21.04.2015,12.5,38.13,30.9906
D09A075,22.04.2015,9.5,38.13,30.9906
D09A075,23.04.2015,8.03,38.13,30.9906
D09A075,24.04.2015,7.15,38.13,30.9906
D09A075,25.04.2015,6.3,38.13,30.9906
D09A075,26.04.2015,5.88,38.13,30.9906
D09A075,27.04.2015,5.65,38.13,30.9906
D09A075,28.04.2015,5.5,38.13,30.9906
D09A075,29.04.2015,6.1,38.13,30.9906
D09A075,30.04.2015,6.1,38.13,30.9906
D09A075,01.05.2015,6.7,38.13,30.9906
D09A075,02.05.2015,6.5,38.13,30.9906
D09A075,03.05.2015,6.7,38.13,30.9906
D09A075,04.05.2015,6.3,38.13,30.9906
D09A075,05.05.2015,5.65,38.13,30.9906
D09A075,06.05.2015,5.18,38.13,30.9906
D09A075,07.05.2015,4.8,38.13,30.9906
D09A075,08.05.2015,4.6,38.13,30.9906
D09A075,09.05.2015,4.45,38.13,30.9906
D09A075,10.05.2015,4.15,38.13,30.9906
D09A075,11.05.2015,3.65,38.13,30.9906
D09A075,12.05.2015,3.83,38.13,30.9906
D09A075,13.05.2015,3.24,38.13,30.9906
D09A075,14.05.2015,2.95,38.13,30.9906
D09A075,15.05.2015,2.69,38.13,30.9906
D09A075,16.05.2015,2.3,38.13,30.9906
D09A075,17.05.2015,2.2,38.13,30.9906
D09A075,18.05.2015,1.85,38.13,30.9906
D09A075,19.05.2015,1.63,38.13,30.9906
D09A075,20.05.2015,1.55,38.13,30.9906
D09A075,21.05.2015,1.35,38.13,30.9906
D09A075,22.05.2015,1.35,38.13,30.9906
D09A075,23.05.2015,1.55,38.13,30.9906
D09A075,24.05.2015,1.25,38.13,30.9906
D09A075,25.05.2015,1.1,38.13,30.9906
D09A075,26.05.2015,1.1,38.13,30.9906
D09A075,27.05.2015,1.18,38.13,30.9906
D09A075,28.05.2015,1.85,38.13,30.9906
D09A075,29.05.2015,2.8,38.13,30.9906
D09A075,30.05.2015,5.35,38.13,30.9906
D09A075,31.05.2015,3.52,38.13,30.9906
D09A075,01.06.2015,2.58,38.13,30.9906
D09A075,02.06.2015,1.95,38.13,30.9906
D09A075,03.06.2015,1.75,38.13,30.9906
D09A075,04.06.2015,1.63,38.13,30.9906
D09A075,05.06.2015,1.85,38.13,30.9906
D09A075,06.06.2015,1.75,38.13,30.9906
D09A075,07.06.2015,1.55,38.13,30.9906
D09A075,08.06.2015,1.55,38.13,30.9906
D09A075,09.06.2015,1.63,38.13,30.9906
D09A075,10.06.2015,1.45,38.13,30.9906
D09A075,11.06.2015,2.44,38.13,30.9906
D09A075,12.06.2015,3.24,38.13,30.9906
D09A075,13.06.2015,2.58,38.13,30.9906
D09A075,14.06.2015,2.2,38.13,30.9906
D09A075,15.06.2015,1.85,38.13,30.9906
D09A075,16.06.2015,1.55,38.13,30.9906
D09A075,17.06.2015,1.25,38.13,30.9906
D09A075,18.06.2015,1.1,38.13,30.9906
D09A075,19.06.2015,2.2,38.13,30.9906
D09A075,20.06.2015,2.3,38.13,30.9906
D09A075,21.06.2015,1.85,38.13,30.9906
D09A075,22.06.2015,1.25,38.13,30.9906
D09A075,23.06.2015,1.18,38.13,30.9906
D09A075,24.06.2015,2.2,38.13,30.9906
D09A075,25.06.2015,1.25,38.13,30.9906
D09A075,26.06.2015,1.0,38.13,30.9906
D09A075,27.06.2015,0.94,38.13,30.9906
D09A075,28.06.2015,1.75,38.13,30.9906
D09A075,29.06.2015,1.45,38.13,30.9906
D09A075,30.06.2015,2.69,38.13,30.9906
D09A075,01.07.2015,1.95,38.13,30.9906
D09A075,02.07.2015,1.55,38.13,30.9906
D09A075,03.07.2015,1.55,38.13,30.9906
D09A075,04.07.2015,1.35,38.13,30.9906
D09A075,05.07.2015,1.0,38.13,30.9906
D09A075,06.07.2015,0.86,38.13,30.9906
D09A075,07.07.2015,0.86,38.13,30.9906
D09A075,08.07.2015,0.72,38.13,30.9906
D09A075,09.07.2015,0.66,38.13,30.9906
D09A075,10.07.2015,0.66,38.13,30.9906
D09A075,11.07.2015,0.72,38.13,30.9906
D09A075,12.07.2015,1.0,38.13,30.9906
D09A075,13.07.2015,0.66,38.13,30.9906
D09A075,14.07.2015,0.61,38.13,30.9906
D09A075,15.07.2015,0.54,38.13,30.9906
D09A075,16.07.2015,0.5,38.13,30.9906
D09A075,17.07.2015,0.44,38.13,30.9906
